Item ID, ,Top Item,Description,URL,Campaign,Content Provider,Viewable Impressions,vCTR,Clicks,Actual CPC,vCPM,Conversion Rate,Conversion Rate (Clicks),Conversions,CPA,Spent,Item Value, 
2990889373,#NAME?,Amazon Has Millions of Prime Subscribers — But Few Know About This Savings Trick,,https://capitaloneshopping.com/blog/is-amazon-actually-giving-you-the-best-price-779e00e8958e?hno=true,Amazon_RON_New Images_Rebrand Dupe,WikiBuy - SC,"28,505,728",0.27%,"76,186",$1.600,$4.26,3.27%,3.27%,"2,490",$48.82,"$121,558.63",$0.57,
2934026215,#NAME?,People Born Before 1968 Are In For A Treat This Month,,https://adsrv.consumerweekly.org/45a18f5f-1338-497a-8365-c4ff77114b91,ADX Senior Listicle - 3004,AdSparkx Finance - LifeInsuranceUS - SC,"8,165,867",2.06%,"168,557",$0.390,$8.00,2.32%,2.32%,"3,903",$16.73,"$65,306.80",$0.72,
3011033102,#NAME?,All Adults Over 50 Should Get This Large Benefit (Check If You Qualify),This Large Benefit May Not Last Long,http://click.gospect.com/3ca5b0a1-8193-4a14-8343-0cbee5acc20b,Life - Mobile - Tier1,Adolent - MoneyDoubled.com - SC,"5,663,069",2.45%,"138,888",$0.430,$10.45,5.30%,5.10%,"7,360",$8.04,"$59,152.03",$1.03,
3003587282,#NAME?,Refrigerate A Room in 2 Minutes,This AC turned my room into an icebox quicker than any other AC I've tried,https://read.trendingtechbuzz.com/acreview.php,AirCooler All 2021/6/3,PY Capital - SC,"12,222,413",0.66%,"80,361",$0.540,$3.56,0.81%,0.81%,650,$67.02,"$43,565.62",$0.41,
3005679528,#NAME?,Top Heart Surgeon: This Simple Trick Helps Empty Your Bowels Every Morning,,https://www2.gutcleanseprotocol.com/cid/7013w000001vCGHAA2,12/14/20 - Bio Complete 3 - MOB TAB - WL - SR - State Exclusions,[GH] Bio Complete 3 - SC,"8,093,970",1.12%,"90,302",$0.470,$5.18,0.34%,0.34%,304,$138.01,"$41,953.70",$0.51,
2989826447,#NAME?,${region:capitalized}$: Say Goodbye To Your Mortgage If You Have No Missed Payments,,https://www.fetcharate.com/pa/?tg_ref=andy1,Feb Andy WL,Andrew Wilder Inc. - Fetcharate - SC,"7,458,872",0.83%,"62,004",$0.660,$5.46,1.93%,1.93%,"1,196",$34.06,"$40,738.11",$0.54,
3014188918 (old version),#NAME?,All Adults Over 50 Are Due a Large Benefit This Month (Check If You Qualify),,https://financeguidepro.com/policy60/index9533.html,campaign43-life,Qile Media-SC,"3,845,873",2.37%,"91,235",$0.440,$10.52,5.76%,5.75%,"5,253",$7.70,"$40,454.08",$0.97,
3006858094,#NAME?,"One Thing All Cheaters Have In Common, Brace Yourself",,https://www.peoplewhiz.com/pa/?tg_ref=pwmota,Mobile,Andrew Wilder Inc. - Peoplewhiz - SC,"12,687,371",1.20%,"152,293",$0.220,$2.67,0.30%,0.30%,457,$74.17,"$33,894.48",$0.34,
2970863648,#NAME?,Top Doc: This Fruit Stops Weight Gain In Its Tracks,,https://www.dkawellness.com/dka--bb-fruitadv-tba/?time_elapsed=1&tab_comp=1&noplay=1&controls=1,DKA BB - Mob/Tab - Adv Test,United Naturals - Dr. Kellyann Bone Broth - SC,"8,439,847",0.81%,"68,571",$0.450,$3.68,0.29%,0.29%,202,$153.59,"$31,024.76",$0.44,
3014200576,#NAME?,New Anti-Mosquito Device Is Changing Outdoor Life In ${region:capitalized}$,Mosquitoes Were Eating Me Alive Until A Friend Showed Me This New Anti-Mosquito Light. Not A Single Bite Since I Turned It On!,https://tick.ponira.com/801940dc-4612-4280-b160-33240fd8a62b?site=%7Bsite%7D&site_id=%7Bsite_id%7D&title=%7Btitle%7D&platform=%7Bplatform%7D&campaign_id=%7Bcampaign_id%7D&campaign_item_id=%7Bcampaign_item_id%7D&thumbnail=%7Bthumbnail%7D&campaign_name=%7Bcampaign_name%7D&utm_campaign=%7Bcampaign_name%7D&utm_medium=%7Bsite_id%7D&click_id=%7Bclick_id%7D,cola_SO00061@A1_colapamarket_bug_us_mobile_20210707_t1132_je_ios,Yidian Hudong Tech Co.ltd - 1 - SC,"7,909,727",0.62%,"49,110",$0.630,$3.89,1.35%,1.35%,662,$46.52,"$30,796.81",$0.42,
3009140629,#NAME?,People Born 1951-1991 (With No Life Insurance) Should Claim This Benefit In July 2021,,http://clickster.io/api/visitors/57ac89e0a38746122f4af882/5f67b8a61385db0012eef9bb/incoming?adi=holding100sb&adh=ppl51-91benjul21&addet=holding100sb-ppl51-91benjul21&cadid=kiThU44F1&appr=lo236_06202021,Life US - Mobile - LO236,Smash Media - Life Insurance - SC,"3,715,153",1.14%,"42,293",$0.640,$7.32,7.95%,7.94%,"3,361",$8.09,"$27,183.89",$0.64,
2990931993,#NAME?,Here ls What FuII Mouth DentaI lmpIants ShouId Cost You ln 2021,,https://search.searchinglead.com/bb8a5ac4-7de5-4ae7-9ff4-1b702a6ee712?site=%7Bsite%7D&site_id=%7Bsite_id%7D&title=%7Btitle%7D&platform=%7Bplatform%7D&campaign_id=%7Bcampaign_id%7D&campaign_item_id=%7Bcampaign_item_id%7D&thumbnail=%7Bthumbnail%7D&click_id=%7Bclick_id%7D,Dental_M_US_Taboola_25032021 NEW WL,VR HOLDING OÜ - SC,"8,349,860",1.02%,"85,427",$0.310,$3.17,41.06%,41.02%,"35,077",$0.75,"$26,448.46",$0.41,
3008755426,#NAME?,The US States Americans Are Fleeing (And The Places They're Flocking To),,http://moneywise.com/a/ch-c/americans-abandon-states_NewByeStatesJun19-LGSB-DSK?t=The%20US%20States%20Americans%20Are%20Fleeing%20%28And%20The%20Places%20They%27re%20Flocking%20To%29&utm_source=taboola&utm_medium=%7Bplatform%7D&utm_campaign=%7Bcampaign_id%7D&utm_term=%7Bsite%7D&utm_content=%7Bcampaign_item_id%7D&s_trn_d=%7Bcpc%7D&taboola_click_id=%7Bclick_id%7D&hero=202106181544350400660666661,NewByeStatesJun19 - LGSB - DSK,Moneywise.com - SC,"8,295,133",1.60%,"133,115",$0.200,$3.18,0.00%,0.00%,0,$0.00,"$26,360.50",$0.49,
2968093338,#NAME?,Do This Instead of Cleaning Gutters (It's Genius),,http://www.mnbasd77.com/aff_c?offer_id=2024&aff_id=2491&url_id=6346&source=Bul&aff_sub=%7Bcampaign_id%7D_states-aud-desk&aff_sub2=%7Bsite%7D-%7Bsite_id%7D&aff_sub3=%7Bcampaign_item_id%7D_Name,[SZ]-2024_LF-#37-Mob-MF-30KZIP,Siren Group 2020 - Leaf Filter [SZ] - SC,"7,255,311",0.58%,"42,263",$0.600,$3.50,1.10%,1.10%,467,$54.45,"$25,427.34",$0.43,
2992182973,#NAME?,"5 Years From Now, You'll Probably Wished You'd Grabbed This Stock",,https://www.fool.com/mms/mark/all-in-advert?utm_source=taboola&utm_medium=contentmarketing&utm_campaign=sar-allinalert&aid=9223&paid=9223&waid=9223&source=esatabwdg0211564&psource=esatabwdg0211564&wsource=esatabwdg0211564,pn:sar-allinalert|pr:pros|tt:other|dt:mobile|c1:pwl|c2:upwork-aryeh|da:12.28.2020|sc:esatabwdg0211564,The Motley Fool - US - 4 - SC,"8,510,506",0.62%,"53,112",$0.470,$2.92,0.04%,0.04%,22,"$1,128.21","$24,820.60",$0.34,
